Link	Date	Error_Count
https://www.inklingsnews.com/b/2018/06/05/staples-students-bond-in-the-nations-capital/	2018-06-05	2
https://www.inklingsnews.com/b/2018/06/05/westport-memorial-day-parade-brings-smiles-to-residents-faces/	2018-06-05	0
https://www.inklingsnews.com/b/2018/05/31/will-haskell-accepts-democratic-nomination-for-state-senate/	2018-05-31	0
https://www.inklingsnews.com/b/2018/05/30/humans-of-staples-oneill-talks-pebbles-posies-and-passions/	2018-05-30	0
https://www.inklingsnews.com/b/2018/05/30/the-british-royal-wedding-celebrates-a-mix-of-old-and-new-traditions/	2018-05-30	0
https://www.inklingsnews.com/b/2018/05/29/three-juniors-venture-to-singapore-as-u-s-delegates/	2018-05-29	1
https://www.inklingsnews.com/b/2018/05/23/ap-assassin-participants-donate-to-sandy-hook-promise-through-competition/	2018-05-23	1
https://www.inklingsnews.com/b/2018/05/23/underwater-robotics-team-advances-to-international-competition/	2018-05-23	0
https://www.inklingsnews.com/b/2018/05/21/spencer-brockman-speeds-off-into-professional-racing/	2018-05-21	3
https://www.inklingsnews.com/b/2018/05/14/delgado-and-attkiss-represent-staples-at-graduation-as-valedictorian-and-salutatorian/	2018-05-14	0
https://www.inklingsnews.com/b/2018/05/11/valedictorian-delgado-salutatorian-attkiss-reflect-on-time-at-staples/	2018-05-11	0
https://www.inklingsnews.com/b/2018/05/11/fording-rewarded-for-outstanding-musical-achievements/	2018-05-11	0
https://www.inklingsnews.com/b/2018/05/08/scholar-athletes-soar/	2018-05-08	1
https://www.inklingsnews.com/b/2018/05/08/colin-neenan-teacher-feature/	2018-05-08	0
https://www.inklingsnews.com/b/2018/05/08/staples-newest-student-arrives-from-south-africa/	2018-05-08	0
https://www.inklingsnews.com/b/2018/05/07/national-school-walkout-sparks-student-activism/	2018-05-07	0
https://www.inklingsnews.com/b/2018/05/04/half-day-schedule-allows-students-flexibility-to-pursue-interests/	2018-05-04	0
https://www.inklingsnews.com/b/2018/05/03/annual-touch-a-truck-event-brings-smiles-to-childrens-faces/	2018-05-03	1
https://www.inklingsnews.com/b/2018/05/01/westport-celebrates-the-seventh-annual-maker-faire/	2018-05-01	0
https://www.inklingsnews.com/b/2018/04/26/walkout-podcast-performance/	2018-04-26	0
https://www.inklingsnews.com/b/2018/04/25/national-school-walkout/	2018-04-25	0
https://www.inklingsnews.com/b/2018/04/24/staples-students-attend-legislative-hearing-on-gun-laws-2/	2018-04-24	0
https://www.inklingsnews.com/b/2018/04/22/women-in-history-class-promotes-discussion-education-action/	2018-04-22	0
https://www.inklingsnews.com/b/2018/04/20/does-westport-have-rhythm/	2018-04-20	0
https://www.inklingsnews.com/b/2018/04/20/cutest-dogs-of-westport-episode-one/	2018-04-20	0
https://www.inklingsnews.com/b/2018/04/20/emerson-kobak-adds-fashion-stylist-to-her-resume/	2018-04-20	0
https://www.inklingsnews.com/b/2018/04/19/murali-ranks-as-finalist-in-connecticut-science-and-engineering-fair/	2018-04-19	0
https://www.inklingsnews.com/b/2018/04/19/ulta-beauty-opens-their-doors-in-westport/	2018-04-19	0
https://www.inklingsnews.com/b/2018/04/19/community-plunges-into-raising-money-for-special-needs/	2018-04-19	1
https://www.inklingsnews.com/b/2018/04/19/westport-designers-fashion-their-own-future/	2018-04-19	2
https://www.inklingsnews.com/b/2018/04/19/m-eat-provisions-offers-prime-global-delicacies/	2018-04-19	0
https://www.inklingsnews.com/b/2018/04/19/staples-seniors-graduating-with-high-honors/	2018-04-19	0
https://www.inklingsnews.com/b/2018/04/18/the-setlist-with-seth-mccoy/	2018-04-18	0
https://www.inklingsnews.com/b/2018/04/08/st-baldricks-helps-to-cure-childhood-cancer/	2018-04-08	0
https://www.inklingsnews.com/b/2018/04/08/wakeman-town-farms-eggstravaganza-celebrates-easter/	2018-04-08	0
https://www.inklingsnews.com/b/2018/04/06/cutest-dogs-of-westport/	2018-04-06	1
https://www.inklingsnews.com/b/2018/04/05/nick-bilotti-18-takes-gap-year-in-slovakia-as-first-year-graduate/	2018-04-05	3
https://www.inklingsnews.com/b/2018/04/02/bedford-middle-school-students-taking-a-stand-on-gun-violence/	2018-04-02	1
https://www.inklingsnews.com/b/2018/04/02/staples-grad-enters-race-for-connecticut-state-senator/	2018-04-02	0
https://www.inklingsnews.com/b/2018/04/02/march-for-our-lives-just-the-beginning/	2018-04-02	0
https://www.inklingsnews.com/b/2018/04/02/boost-juice-is-it-worth-the-hype/	2018-04-02	0
https://www.inklingsnews.com/b/2018/03/26/larry-nassar-trials-sends-shockwaves-to-staples/	2018-03-26	2
https://www.inklingsnews.com/b/2018/03/26/we-the-people-class-heads-to-washington-d-c/	2018-03-26	8
https://www.inklingsnews.com/b/2018/03/25/march-for-our-lives-washington-d-c/	2018-03-25	1
https://www.inklingsnews.com/b/2018/03/22/humans-of-staples-schmidt-flourishes-in-violin-performance/	2018-03-22	0
https://www.inklingsnews.com/b/2018/03/15/als-research-is-becoming-spiced-up-with-the-hot-pepper-challenge/	2018-03-15	3
https://www.inklingsnews.com/b/2018/03/14/westport-recovers-from-brutal-noreaster/	2018-03-14	0
https://www.inklingsnews.com/b/2018/03/14/builders-beyond-borders-reflect-on-trip-to-the-dominican-republic/	2018-03-14	0
https://www.inklingsnews.com/b/2018/03/07/backspace-establishes-expertise-in-westport/	2018-03-07	0
https://www.inklingsnews.com/b/2018/02/26/students-articulate-appreciation-for-teachers-in-honor-of-loveteaching-campaign/	2018-02-26	0
https://www.inklingsnews.com/b/2018/02/26/staples-welcomes-new-social-studies-paraprofessional/	2018-02-26	2
https://www.inklingsnews.com/b/2018/02/26/teacher-feature-eric-mongirdas/	2018-02-26	0
https://www.inklingsnews.com/b/2018/02/26/dan-woog-shares-passion-for-westports-past-and-present/	2018-02-26	0
https://www.inklingsnews.com/b/2018/02/09/contemporary-world-class-calls-attention-to-gun-violence/	2018-02-09	2
https://www.inklingsnews.com/b/2018/02/01/restore-cyro-therapy-opens-in-westport/	2018-02-01	0
https://www.inklingsnews.com/b/2018/01/25/wreckers-in-tune-staples-band-performs-as-charity-events/	2018-01-25	0
https://www.inklingsnews.com/b/2018/01/24/humans-of-staples-remi-levitt/	2018-01-24	0
https://www.inklingsnews.com/b/2018/01/24/sexual-misconduct-addressed-in-junior-health-classes/	2018-01-24	1
https://www.inklingsnews.com/b/2018/01/24/acapella-groups-perform-at-toquet-hall-for-homes-with-hope-organization/	2018-01-24	0
https://www.inklingsnews.com/b/2018/01/23/westport-retail-shops-utilized-for-midterm-studying/	2018-01-23	0
https://www.inklingsnews.com/b/2018/01/23/pequot-library-enchants-visitors-2/	2018-01-23	0
https://www.inklingsnews.com/b/2018/01/20/teacher-feature-heather-colletti-houde/	2018-01-20	0
https://www.inklingsnews.com/b/2018/01/19/pequot-library-enchants-visitors/	2018-01-19	0
https://www.inklingsnews.com/b/2018/01/19/italian-teachers-take-a-step-toward-no-midterm-testing/	2018-01-19	0
https://www.inklingsnews.com/b/2018/01/18/cafeteria-offers-limited-options-for-students-with-allergies/	2018-01-18	0
https://www.inklingsnews.com/b/2018/01/17/students-react-to-celebrity-politicians/	2018-01-17	0
https://www.inklingsnews.com/b/2018/01/17/contemporary-world-studies-class-raises-awareness-about-sexual-assault/	2018-01-17	0
https://www.inklingsnews.com/b/2017/12/23/kale-and-arellano-capture-writing-awards/	2017-12-23	1
https://www.inklingsnews.com/b/2017/12/14/new-app-provides-status-of-local-mcdonalds-ice-cream-machine/	2017-12-14	0
https://www.inklingsnews.com/b/2017/12/10/buzzfeed-copy-editor-visits-journalism-students/	2017-12-10	2
https://www.inklingsnews.com/b/2017/12/06/thanksgiving-traditions-thousands-trot-for-the-annual-turkey-trot/	2017-12-06	0
https://www.inklingsnews.com/b/2017/12/05/the-holiday-season-manifests-in-downtown-westport/	2017-12-05	0
https://www.inklingsnews.com/b/2017/11/29/0688050-exhibit-portrays-what-westport-is-expected-to-be-like-in-50-years/	2017-11-29	0
https://www.inklingsnews.com/b/2017/11/29/bilotti-broadens-horizons-through-rotary-youth-exchange-program/	2017-11-29	0
https://www.inklingsnews.com/b/2017/11/29/students-share-perspectives-on-black-friday/	2017-11-29	0
https://www.inklingsnews.com/b/2017/11/23/students-explain-distaste-towards-thanksgiving/	2017-11-23	2
https://www.inklingsnews.com/b/2017/11/20/historical-society-exhibit-explores-westports-future-through-architecture/	2017-11-20	0
https://www.inklingsnews.com/b/2017/11/16/annual-craftwestport-brings-artists-together-from-around-the-country/	2017-11-16	0
https://www.inklingsnews.com/b/2017/11/15/a-look-into-the-zen-den/	2017-11-15	0
https://www.inklingsnews.com/b/2017/11/06/immigration-exploring-the-american-dream-and-mediterranean-cuisine/	2017-11-06	0
https://www.inklingsnews.com/b/2017/11/06/local-newspaper-shuts-down-after-two-decades/	2017-11-06	0
https://www.inklingsnews.com/b/2017/11/05/get-to-know-staples-newsies-characters/	2017-11-05	0
https://www.inklingsnews.com/b/2017/11/03/the-underrated-pain-of-crutches/	2017-11-03	2
https://www.inklingsnews.com/b/2017/11/03/how-to-make-apple-cider-donuts/	2017-11-03	2
https://www.inklingsnews.com/b/2017/11/02/staples-bbq-club-cooks-up-a-storm/	2017-11-02	0
https://www.inklingsnews.com/b/2017/11/02/sneek-peek-chabad-lubavitch-of-westport/	2017-11-02	0
https://www.inklingsnews.com/b/2017/11/01/halloween-2017-hits-westport/	2017-11-01	0
https://www.inklingsnews.com/b/2017/11/01/take-10-to-read-initiative-aims-to-spur-love-for-reading-in-staples-students/	2017-11-01	1
https://www.inklingsnews.com/b/2017/10/31/out-of-the-darkness-walk-sheds-light-on-suicide-prevention/	2017-10-31	0
https://www.inklingsnews.com/b/2017/10/31/dunkin-donuts-stew-leonards-or-starbucks-who-has-the-best-fall-coffee/	2017-10-31	3
https://www.inklingsnews.com/b/2017/10/31/some-believe-breast-cancer-campaigns-are-not-serious-enough/	2017-10-31	2
https://www.inklingsnews.com/b/2017/10/29/ostbye-immerses-herself-in-european-culture-through-a-study-abroad-program/	2017-10-29	0
https://www.inklingsnews.com/b/2017/10/27/hartford-veers-toward-bankruptcy-adobe-spark/	2017-10-27	0
https://www.inklingsnews.com/b/2017/10/26/the-fresher-the-better/	2017-10-26	0
https://www.inklingsnews.com/b/2017/10/26/six-questions-with-the-damicos/	2017-10-26	0
https://www.inklingsnews.com/b/2017/10/26/savannah-bee-buzzes-to-life-in-bedford-square/	2017-10-26	0
https://www.inklingsnews.com/b/2017/10/25/amanda-kline-explores-the-creepy-side-of-makeup/	2017-10-25	0
https://www.inklingsnews.com/b/2017/10/25/yoga-club-striving-to-destress-staples/	2017-10-25	0
https://www.inklingsnews.com/b/2017/10/25/pink-police-car-spreads-awareness-while-zipping-around-westport/	2017-10-25	0
https://www.inklingsnews.com/b/2017/10/22/diwali-indias-festival-of-lights-lights-up-the-westport-community-adobe-spark/	2017-10-22	0
https://www.inklingsnews.com/b/2017/10/19/a-p-environmental-students-work-with-the-connecticut-fund-for-the-environment-at-sherwood-island-state-park/	2017-10-19	1
https://www.inklingsnews.com/b/2017/10/19/hurricane-maria-fundraising-storms-into-staples/	2017-10-19	0
https://www.inklingsnews.com/b/2017/10/18/teacher-feature-sam-goldberg/	2017-10-18	0
https://www.inklingsnews.com/b/2017/10/17/tbh-a-waste-of-time-or-a-pathway-to-confidence-2/	2017-10-17	0
